,ID,Title,Year,Rating,Genres,Director,Top_Cast_Member,Revenue,Production_Companies,Rating Category,Female,Male,Unknown,Total_Gender_Count,Female_Ratio,Male_Ratio,Revenue_millions,Budget,Budget_millions,log_Budget,log_Revenue,Primary_Genre
208,675,Harry Potter and the Order of the Phoenix,2007,7.7,"['Adventure', 'Fantasy']",David Yates,Daniel Radcliffe,938212738,"['Warner Bros. Pictures', 'Heyday Films']",7-8,39.0,107.0,37.0,146.0,0.2671232876712329,0.7328767123287672,938.212738,150000000,150.0,18.826145858727198,20.65948728189478,Adventure
209,4347,Atonement,2007,7.7,"['Drama', 'Romance']",Joe Wright,James McAvoy,131016624,"['Universal Pictures', 'Relativity Media', 'Working Title', 'StudioCanal', 'Focus Features']",7-8,34.0,50.0,25.0,84.0,0.40476190476190477,0.5952380952380952,131.016624,30000000,30.0,17.216707972959764,18.690834781510183,Drama
210,15137,Evangelion: 1.0 You Are (Not) Alone,2007,7.6,"['Animation', 'Science Fiction', 'Action', 'Drama']",Hideaki Anno,Megumi Ogata,20000000,['khara'],7-8,19.0,74.0,19.0,93.0,0.20430107526881722,0.7956989247311828,20.0,0,0.0,0.0,16.811242881518265,Animation
211,13363,The Man from Earth,2007,7.6,"['Science Fiction', 'Drama']",Richard Schenkman,David Lee Smith,0,['Falling Sky Entertainment'],7-8,4.0,10.0,7.0,14.0,0.2857142857142857,0.7142857142857143,0.0,200000,0.2,12.206077645517674,0.0,Science Fiction
212,4982,American Gangster,2007,7.6,"['Drama', 'Crime']",Ridley Scott,Russell Crowe,266465037,"['Film Rites', 'Imagine Entertainment', 'Universal Pictures', 'Scott Free Productions', 'Relativity Media']",7-8,38.0,135.0,57.0,173.0,0.21965317919075145,0.7803468208092486,266.465037,100000000,100.0,18.420680753952364,19.400753603470644,Drama
213,2013,The Diving Bell and the Butterfly,2007,7.6,"['Drama', 'History']",Julian Schnabel,Mathieu Amalric,19777647,"['Pathé Renn Productions', 'France 3 Cinéma', 'The Kennedy/Marshall Company']",7-8,16.0,21.0,9.0,37.0,0.43243243243243246,0.5675675675675675,19.777647,14000020,14.00002,16.454569387578406,16.800062969100857,Drama
214,4638,Hot Fuzz,2007,7.6,"['Crime', 'Action', 'Comedy']",Edgar Wright,Simon Pegg,80600000,"['Universal Pictures', 'Big Talk Productions', 'StudioCanal', 'Working Title', 'Focus Features', 'Rogue Pictures']",7-8,19.0,63.0,32.0,82.0,0.23170731707317074,0.7682926829268293,80.6,12000000,12.0,16.300417291085605,18.205009219883806,Crime
215,2009,"4 Months, 3 Weeks and 2 Days",2007,7.5,['Drama'],Cristian Mungiu,Anamaria Marinca,1185783,"['Saga Film', 'Mobra Films', 'CNC']",7-8,19.0,17.0,7.0,36.0,0.5277777777777778,0.4722222222222222,1.185783,852510,0.85251,13.655941391282369,13.985914717163867,Drama
216,5708,Control,2007,7.5,['Drama'],Anton Corbijn,Samantha Morton,8159508,"['Becker International', 'Claraflora', 'EM Media', 'NorthSee', 'Warner Music UK', 'Three Dogs And A Pony']",7-8,12.0,38.0,57.0,50.0,0.24,0.76,8.159508,5000000,5.0,15.424948670398354,15.914694553561281,Drama
217,1949,Zodiac,2007,7.5,"['Crime', 'Drama', 'Mystery', 'Thriller']",David Fincher,Jake Gyllenhaal,84785914,"['Paramount', 'Warner Bros. Pictures', 'Phoenix Pictures']",7-8,27.0,88.0,32.0,115.0,0.23478260869565218,0.7652173913043478,84.785914,65000000,65.0,17.989897843244528,18.255639990268435,Crime
218,1407,La Vie en Rose,2007,7.4,"['Music', 'Drama']",Olivier Dahan,Marion Cotillard,86274793,"['TF1 International', 'Légende Films', 'Okko Production', 'Songbird Pictures', 'TF1 Films Production']",7-8,55.0,92.0,0.0,147.0,0.3741496598639456,0.6258503401360545,86.274793,25000000,25.0,17.034386422832473,18.273048039231785,Music
219,2503,The Bourne Ultimatum,2007,7.4,"['Action', 'Drama', 'Mystery', 'Thriller']",Paul Greengrass,Matt Damon,442824138,"['Universal Pictures', 'The Kennedy/Marshall Company', 'Ludlum Entertainment', 'Motion Picture BETA Produktionsgesellschaft', 'Bourne Again', 'KanZaman Services', 'Peninsula Films', 'Studio Babelsberg']",7-8,48.0,170.0,250.0,218.0,0.22018348623853212,0.7798165137614679,442.824138,70000000,70.0,18.064005814299346,19.908683271766375,Action
220,155,The Dark Knight,2008,8.5,"['Drama', 'Action', 'Crime', 'Thriller']",Christopher Nolan,Christian Bale,1004558444,"['DC Comics', 'Legendary Pictures', 'Syncopy', 'Isobel Griffiths', 'Warner Bros. Pictures']",8-9,34.0,146.0,77.0,180.0,0.18888888888888888,0.8111111111111111,1004.558444,185000000,185.0,19.035866388448003,20.727813923702396,Drama
221,10681,WALL·E,2008,8.1,"['Animation', 'Family', 'Science Fiction']",Andrew Stanton,Ben Burtt,521311860,"['Pixar', 'Walt Disney Pictures']",8-9,28.0,73.0,151.0,101.0,0.27722772277227725,0.7227722772277227,521.31186,180000000,180.0,19.00846741441004,20.071859002213046,Animation
222,13223,Gran Torino,2008,8.0,['Drama'],Clint Eastwood,Clint Eastwood,269958228,"['Matten Productions', 'Double Nickel Entertainment', 'Gerber Pictures', 'Malpaso Productions', 'Village Roadshow Pictures', 'WV Films IV', 'Warner Bros. Pictures']",7-8,17.0,50.0,61.0,67.0,0.2537313432835821,0.746268656716418,269.958228,33000000,33.0,17.312018149733785,19.413777797586818,Drama
223,14574,The Boy in the Striped Pyjamas,2008,7.9,"['Drama', 'War', 'History']",Mark Herman,Asa Butterfield,20416563,"['BBC Film', 'Miramax', 'Heyday Films']",7-8,13.0,25.0,45.0,38.0,0.34210526315789475,0.6578947368421053,20.416563,12500000,12.5,16.341239282272525,16.83185709013693,Drama
224,16804,Departures,2008,7.9,['Drama'],Yojiro Takita,Masahiro Motoki,69932387,"['TBS', 'Amuse Soft Entertainment', 'MBS', 'Sedic', 'Shogakukan', 'TBS Radio', 'Shochiku', 'dentsu', 'The Asahi Shimbun']",7-8,5.0,13.0,7.0,18.0,0.2777777777777778,0.7222222222222222,69.932387,0,0.0,0.0,18.063039447531153,Drama
225,13042,Presto,2008,7.8,"['Animation', 'Family', 'Comedy']",Doug Sweetland,Doug Sweetland,0,"['Pixar', 'Walt Disney Pictures']",7-8,3.0,15.0,8.0,18.0,0.16666666666666666,0.8333333333333334,0.0,0,0.0,0.0,0.0,Animation
226,13855,The Chaser,2008,7.8,"['Crime', 'Thriller', 'Action']",Na Hong-jin,Kim Yoon-seok,0,"['Bidangil Pictures', 'Hanhwa Venture Capital', 'Michigan Venture Capital', 'Vantage Holdings', 'Finecut', 'Showbox']",7-8,10.0,24.0,13.0,34.0,0.29411764705882354,0.7058823529411765,0.0,120456666,120.456666,18.606800636261312,0.0,Crime
227,14756,Ip Man,2008,7.8,"['Drama', 'Action', 'History']",Wilson Yip,Donnie Yen,22108789,"['Mandarin Films', 'Golden Harvest Company', 'Beijing ShengShi HuaRei Film Investment & Management Co.', 'China Film Co-Production Corporation', 'New Film Studio of Beijing Starlight International Media Co. Ltd.', 'Prosperity Pictures', 'Shanghai Film Group', 'Time Antaeus Media Group']",7-8,8.0,44.0,9.0,52.0,0.15384615384615385,0.8461538461538461,22.108789,11715578,11.715578,16.276430052518336,16.911485824967926,Drama
228,12429,Ponyo,2008,7.7,"['Animation', 'Fantasy', 'Family']",Hayao Miyazaki,Yuria Kozuki,202404009,"['Studio Ghibli', 'TOHO', 'Nippon Television Network Corporation', 'dentsu', 'Hakuhodo DY Media Partners', 'The Walt Disney Company (Japan)', 'Mitsubishi']",7-8,34.0,49.0,10.0,83.0,0.40963855421686746,0.5903614457831325,202.404009,41677699,41.677699,17.545476771545133,19.12577630743429,Animation
229,12405,Slumdog Millionaire,2008,7.7,"['Drama', 'Romance']",Danny Boyle,Dev Patel,378410542,"['Celador Films', 'Film4 Productions']",7-8,13.0,40.0,102.0,53.0,0.24528301886792453,0.7547169811320755,378.410542,15000000,15.0,16.52356082573315,19.751490256804598,Drama
230,8885,Waltz with Bashir,2008,7.7,"['Drama', 'Animation', 'War', 'Documentary']",Ari Folman,Ari Folman,11179372,"['Bridgit Folman Film Gang', ""Les Films d'Ici"", 'Razor Film Produktion', 'ITVS International', 'TSR', 'ARTE', 'YLE', 'RTBF', 'SBS']",7-8,1.0,10.0,9.0,11.0,0.09090909090909091,0.9090909090909091,11.179372,1500000,1.5,14.220976332738882,16.229580941828754,Drama
231,8832,Il Divo,2008,7.6,['Drama'],Paolo Sorrentino,Toni Servillo,11260366,"['Indigo Film', 'Lucky Red', 'Parco Film', 'Babe Film', 'StudioCanal', 'ARTE France Cinéma', 'Sky Cinema', 'MiC', ""Fonds Eurimages du Conseil de l'Europe"", 'Film Commission Torino Piemonte', 'Regione Campania', 'Campania Film Commission', 'CNC']",7-8,13.0,41.0,58.0,54.0,0.24074074074074073,0.7592592592592593,11.260366,7275000,7.275,15.799954508478866,16.236799773395113,Drama
232,1726,Iron Man,2008,7.6,"['Action', 'Science Fiction', 'Adventure']",Jon Favreau,Robert Downey Jr.,585174222,['Marvel Studios'],7-8,42.0,169.0,44.0,211.0,0.1990521327014218,0.8009478672985783,585.174222,140000000,140.0,18.757152987716434,20.18742017795144,Action
233,14438,Fireproof,2008,7.6,['Drama'],Alex Kendrick,Kirk Cameron,33500000,"['Samuel Goldwyn Films', 'Affirm Films', 'Carmel Entertainment', 'FortyFour Studios', 'Provident Films', 'Sherwood Pictures']",7-8,2.0,14.0,43.0,16.0,0.125,0.875,33.5,500000,0.5,13.122365377402328,17.32705602664604,Drama
234,11321,Seven Pounds,2008,7.6,['Drama'],Gabriele Muccino,Will Smith,168167691,"['Escape Artists', 'Columbia Pictures', 'Relativity Media', 'Overbrook Entertainment']",7-8,22.0,54.0,41.0,76.0,0.2894736842105263,0.7105263157894737,168.167691,55000000,55.0,17.822843761378564,18.940472206197107,Drama
